id,vehicle,driver,alert,remark,fleet,old_datetime,new_datetime
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-03-07 08:24:19,2026-07-03 08:24:19
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-03-07 20:30:23,2026-07-03 20:30:23
3,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-03-07 21:00:04,2026-07-03 21:00:04
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-08-07 12:42:40,2026-07-08 12:42:40
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-09-07 07:12:31,2026-07-09 07:12:31
4,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-09-07 12:55:18,2026-07-09 12:55:18
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 13:49:56,2026-07-10 13:49:56
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 13:58:26,2026-07-10 13:58:26
5,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 15:51:27,2026-07-10 15:51:27
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 15:56:40,2026-07-10 15:56:40
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 16:10:56,2026-07-10 16:10:56
6,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 16:14:34,2026-07-10 16:14:34
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 17:14:50,2026-07-10 17:14:50
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 17:26:39,2026-07-10 17:26:39
7,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 17:31:50,2026-07-10 17:31:50
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 17:38:45,2026-07-10 17:38:45
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-10-07 17:54:22,2026-07-10 17:54:22
8,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 07:54:44,2026-07-11 07:54:44
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 08:19:19,2026-07-11 08:19:19
,71-7689,,Eye Closing-A2,Mobile Phone,Pornchanok,2026-11-07 08:27:34,2026-07-11 08:27:34
9,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 08:33:47,2026-07-11 08:33:47
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 09:09:01,2026-07-11 09:09:01
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 09:18:48,2026-07-11 09:18:48
10,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 10:03:53,2026-07-11 10:03:53
,71-7689,,Eye Closing-A2,Yawning,Pornchanok,2026-11-07 11:26:23,2026-07-11 11:26:23
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 13:16:28,2026-07-11 13:16:28
11,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 15:00:21,2026-07-11 15:00:21
,71-7689,,Eye Closing-A2,Distraction,Pornchanok,2026-11-07 16:13:54,2026-07-11 16:13:54
,71-7689,,Eye Closing-A2,Mobile Phone,Pornchanok,2026-11-07 16:38:45,2026-07-11 16:38:45
